analysis_id,dataset,cross_label,intersectional,model,mitigation,seed,accuracy,attr_a_abs_spd,attr_a_abs_eod,attr_b_abs_spd,attr_b_abs_eod,max_marginal_abs_spd,max_marginal_abs_eod,subgroup_pr_range,subgroup_tpr_range,subgroup_fpr_range,n_subgroup_cells,min_cell_n,runtime_seconds,status
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,53,0.7626,0.03269837839506645,0.037391274798659335,0.22499389538705927,0.15880427895188043,0.22499389538705927,0.15880427895188043,0.25379954593437737,0.20585038416222756,0.1460098410824832,4,1869,0.04156160000000142,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,54,0.7739,0.011801212335169342,0.06167753877829796,0.2252800071913682,0.15300917243596224,0.2252800071913682,0.15300917243596224,0.25007314185919854,0.20914420147325385,0.15509952828315365,4,1854,0.04474409999999551,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,55,0.7683,0.02674981309966412,0.04180408833351401,0.2255966229443599,0.1352148596491488,0.2255966229443599,0.1352148596491488,0.25327054514201525,0.17011613848334806,0.1533655162243638,4,1824,0.03843479999999744,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,56,0.7693,0.011123721675151188,0.05630309094072794,0.2271114709761432,0.15603879754652672,0.2271114709761432,0.15603879754652672,0.23769575794938005,0.20535829646152537,0.15028197695815387,4,1888,0.03741839999999996,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,57,0.7702,0.02541005239237787,0.03266965728669302,0.21409645613911032,0.14332705771606757,0.21409645613911032,0.14332705771606757,0.24784844987141325,0.23096383147853727,0.1438510364995422,4,1829,0.03733350000000257,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,58,0.7721,0.03339603935501623,0.032012017065420784,0.21286693531114736,0.12982787499912396,0.21286693531114736,0.12982787499912396,0.2463740325551829,0.19737850186920203,0.1369857670539869,4,1891,0.038097700000001566,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,59,0.7652,0.00928949977063237,0.034941021926154225,0.21854988458303437,0.12082231232802387,0.21854988458303437,0.12082231232802387,0.25419663860782815,0.22571157565017907,0.15760084551699843,4,1857,0.03819520000000409,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,60,0.771,0.027742433005590927,0.0308671577159344,0.20692943934654812,0.1262665319045717,0.20692943934654812,0.1262665319045717,0.23576600236267606,0.1520889405845517,0.12575338481043047,4,1869,0.04067569999999421,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,61,0.7725,0.02373835656691653,0.03595207508223963,0.21038645824163382,0.12922103900688353,0.21038645824163382,0.12922103900688353,0.2366166210093514,0.19788135593220335,0.1342755086193508,4,1882,0.0391514000000015,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,62,0.7711,0.03551879699248123,0.02522453768303312,0.21815169761906678,0.1509200778315708,0.21815169761906678,0.1509200778315708,0.25194331814487503,0.19467058019973793,0.13362415751207343,4,1867,0.03872100000000245,success
