analysis_id,dataset,cross_label,intersectional,model,mitigation,seed,accuracy,attr_a_abs_spd,attr_a_abs_eod,attr_b_abs_spd,attr_b_abs_eod,max_marginal_abs_spd,max_marginal_abs_eod,subgroup_pr_range,subgroup_tpr_range,subgroup_fpr_range,n_subgroup_cells,min_cell_n,runtime_seconds,status
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,52,0.8512206356517734,0.17704418965105345,0.12441013358424935,0.17253185771487803,0.05311684370257963,0.17704418965105345,0.12441013358424935,0.28162410834280993,0.14976836672096122,0.09954735014500733,4,1020,0.11951460000000047,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,53,0.8527560264087211,0.17351761720386105,0.13013877978528415,0.17915900893862102,0.08016491067338516,0.17915900893862102,0.13013877978528415,0.2838685723554963,0.15211918828666837,0.10123728556247154,4,982,0.14470649999999985,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,54,0.8519883310302472,0.1647374507128502,0.13436541414040337,0.17860005745452828,0.1147447361697651,0.17860005745452828,0.13436541414040337,0.2770434639534741,0.15606463301360163,0.09506773952666149,4,998,0.13382260000000024,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,55,0.8526024873330262,0.1477199133662281,0.02650525181008989,0.16829828484029602,0.05559868266290291,0.16829828484029602,0.05559868266290291,0.27065155700177834,0.08368404645000393,0.09943253336627275,4,988,0.14516099999999987,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,56,0.8412405957316137,0.16844109456207845,0.09001512859304084,0.16785856814088868,0.013680125825888734,0.16844109456207845,0.09001512859304084,0.27839064723244084,0.1007131306168978,0.11971975170183355,4,965,0.14213719999999874,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,57,0.8498387839705205,0.1754821233778668,0.04640498451071673,0.177998469192499,0.00816906354248137,0.177998469192499,0.04640498451071673,0.2848526342906442,0.16527977044476327,0.11639537888015354,4,1031,0.13137120000000024,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,58,0.8473821587594043,0.16942789817801374,0.10751547303271441,0.16708204244651945,0.026677821156348758,0.16942789817801374,0.10751547303271441,0.27347767401138184,0.14353146853146853,0.10609438870308435,4,979,0.11099259999999944,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,59,0.8403193612774451,0.17228158000126467,0.0763419296106313,0.16239937232656507,0.05405873904214753,0.17228158000126467,0.0763419296106313,0.26913865116686625,0.10986823052418188,0.11115583647474137,4,1022,0.1150822999999992,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,60,0.8498387839705205,0.1736141653815534,0.07408498092617222,0.15842107211994058,0.0018756995436822743,0.1736141653815534,0.07408498092617222,0.28017046724251915,0.07978792189318507,0.10287305173318728,4,1009,0.12309820000000116,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,61,0.8490710885920467,0.16526093475858122,0.039479638009049745,0.16142465676662338,0.057660650029864646,0.16526093475858122,0.057660650029864646,0.27127859362318535,0.07193158953722334,0.10068538463574056,4,959,0.1401804999999996,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,62,0.8409335175802242,0.17139852182208992,0.05932323984446097,0.16318025258323765,0.014814814814814836,0.17139852182208992,0.05932323984446097,0.2727998286298682,0.15000000000000002,0.11547983821546759,4,1040,0.13865529999999993,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,63,0.849531705819131,0.17708865400864063,0.12259606051102845,0.16762169900044108,0.06001511715797436,0.17708865400864063,0.12259606051102845,0.289180892029297,0.2618730370229371,0.11263830910828344,4,982,0.13500280000000053,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,64,0.8532166436358053,0.1598742578116045,0.04530397771102379,0.17673479253232302,0.08993157380254158,0.17673479253232302,0.08993157380254158,0.2790256005645959,0.12574225645963732,0.10404487569807948,4,993,0.18867460000000058,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,65,0.8472286196837095,0.15583142037857178,0.07201180215855274,0.17693547345731458,0.034949343849867476,0.17693547345731458,0.07201180215855274,0.2784907152811782,0.07941249688822505,0.10882297574258344,4,955,0.13558819999999905,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,66,0.8524489482573315,0.15888694039198548,0.0601873780178509,0.15841352756783647,0.05689436650496038,0.15888694039198548,0.0601873780178509,0.25613570133529073,0.08382066276803113,0.08395084544517833,4,1014,0.11709500000000084,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,67,0.8478427759864886,0.1583627874164117,0.06249018067556955,0.17699309414640124,0.04297439603551512,0.17699309414640124,0.06249018067556955,0.27747729117840786,0.07210641199275825,0.10593722921109398,4,940,0.13065819999999917,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,68,0.8483033932135728,0.16384400341315258,0.04943502824858759,0.17421228322684412,0.020574434074150494,0.17421228322684412,0.04943502824858759,0.2832737593836399,0.070935441370224,0.11095145044595664,4,964,0.14380969999999849,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,69,0.8502994011976048,0.15777413580820837,0.07511561522256704,0.17412054697883209,0.01430243803125153,0.17412054697883209,0.07511561522256704,0.26915529419284734,0.08488429115195095,0.103563192834228,4,1005,0.14185409999999976,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,70,0.8461538461538461,0.18752481971534302,0.18078897770845526,0.1704284323849541,0.02476205018577904,0.18752481971534302,0.18078897770845526,0.29267945984363897,0.19973482550169663,0.1139019551790154,4,1005,0.12888029999999873,success
adult_sex_age,adult,sex x age_group,True,logistic_regression,baseline,71,0.8483033932135728,0.16470645439078307,0.06604550042705182,0.17855843635415278,0.07004346213468504,0.17855843635415278,0.07004346213468504,0.2830353438034662,0.10053380782918153,0.10890189495783756,4,1014,0.1140150000000002,success
adult_sex_age,adult,sex x age_group,True,xgboost,baseline,42,0.8622754491017964,0.17813899529992286,0.06616541353383465,0.1934258708932468,0.12106192207427846,0.1934258708932468,0.12106192207427846,0.2986220908809311,0.17854267310789051,0.11668069901636652,4,978,0.7621007999999989,success
adult_sex_age,adult,sex x age_group,True,xgboost,baseline,43,0.8728696453247351,0.1535065922839178,0.02777777777777779,0.17756685707065467,0.05801065292398433,0.17756685707065467,0.05801065292398433,0.2744650815179782,0.07121212121212117,0.08356676721294677,4,975,0.423524200000001,success
adult_sex_age,adult,sex x age_group,True,xgboost,baseline,44,0.8693382465837556,0.18149975137387367,0.1197238304825411,0.19609560759530148,0.03768244139761168,0.19609560759530148,0.1197238304825411,0.3077821148380161,0.1307964601769911,0.10558651148066989,4,1022,0.4507443000000002,success
