dataset,model,mitigation,seed,accuracy,cfs,sex_abs_spd,sex_abs_eod,race_abs_spd,race_abs_eod,max_marginal_abs_spd,max_marginal_abs_eod,intersectional_pr_range,intersectional_tpr_range,intersectional_fpr_range,n_intersectional_cells,min_cell_n,runtime_seconds,status,analysis_id,cross_label,intersectional,attr_a_abs_spd,attr_a_abs_eod,attr_b_abs_spd,attr_b_abs_eod,subgroup_pr_range,subgroup_tpr_range,subgroup_fpr_range,n_subgroup_cells
adult,logistic_regression,baseline,52,0.8512206356517734,[0.27618523],0.1770441896510534,0.1244101335842493,0.0782346506413771,0.0671558846766742,0.1770441896510534,0.1244101335842493,0.2150126392659863,0.2031616982836495,0.0746107570280868,4,440,0.1724613000000001,success,adult_sex_race,sex x race,True,0.1770441896510534,0.1244101335842493,0.0782346506413771,0.0671558846766742,0.2150126392659863,0.2031616982836495,0.0746107570280868,4
adult,logistic_regression,baseline,53,0.8527560264087211,[0.27557803],0.173517617203861,0.1301387797852841,0.1059847414307161,0.0816628327308577,0.173517617203861,0.1301387797852841,0.21546681944998,0.1944103434765573,0.0796536796536796,4,416,0.1594766999999999,success,adult_sex_race,sex x race,True,0.173517617203861,0.1301387797852841,0.1059847414307161,0.0816628327308577,0.21546681944998,0.1944103434765573,0.0796536796536796,4
adult,logistic_regression,baseline,54,0.8519883310302472,[0.27042195],0.1647374507128502,0.1343654141404033,0.0792512213608616,0.0002345765892564,0.1647374507128502,0.1343654141404033,0.1921521007608728,0.1488552693057502,0.0725650694380575,4,452,0.1459362000000004,success,adult_sex_race,sex x race,True,0.1647374507128502,0.1343654141404033,0.0792512213608616,0.0002345765892564,0.1921521007608728,0.1488552693057502,0.0725650694380575,4
adult,logistic_regression,baseline,55,0.8526024873330262,[0.20959397],0.1477199133662281,0.0265052518100898,0.0848640103738461,0.0757063993607903,0.1477199133662281,0.0757063993607903,0.1812160945824312,0.1222123104371097,0.0708223587942639,4,440,0.1552262999999998,success,adult_sex_race,sex x race,True,0.1477199133662281,0.0265052518100898,0.0848640103738461,0.0757063993607903,0.1812160945824312,0.1222123104371097,0.0708223587942639,4
adult,logistic_regression,baseline,56,0.8412405957316137,[0.25369333],0.1684410945620784,0.0900151285930408,0.0627527554613637,0.011187927445733,0.1684410945620784,0.0900151285930408,0.2068649869282442,0.1091617933723197,0.0887083567284297,4,438,0.1650693000000007,success,adult_sex_race,sex x race,True,0.1684410945620784,0.0900151285930408,0.0627527554613637,0.011187927445733,0.2068649869282442,0.1091617933723197,0.0887083567284297,4
adult,logistic_regression,baseline,57,0.8498387839705205,[0.24536894],0.1754821233778668,0.0464049845107167,0.0936027754708108,0.0412366580787634,0.1754821233778668,0.0464049845107167,0.2078626056621494,0.1061016949152542,0.0829342880584769,4,435,0.1610341999999995,success,adult_sex_race,sex x race,True,0.1754821233778668,0.0464049845107167,0.0936027754708108,0.0412366580787634,0.2078626056621494,0.1061016949152542,0.0829342880584769,4
adult,logistic_regression,baseline,58,0.8473821587594043,[0.26567935],0.1694278981780137,0.1075154730327144,0.0705758379906986,0.0599999999999999,0.1694278981780137,0.1075154730327144,0.1925751087307748,0.1285319293992879,0.0725682328198982,4,417,0.1263977999999994,success,adult_sex_race,sex x race,True,0.1694278981780137,0.1075154730327144,0.0705758379906986,0.0599999999999999,0.1925751087307748,0.1285319293992879,0.0725682328198982,4
adult,logistic_regression,baseline,59,0.8403193612774451,[0.25903481],0.1722815800012646,0.0763419296106313,0.0790120962083578,0.0297743596849811,0.1722815800012646,0.0763419296106313,0.2175459592433762,0.2301587301587301,0.0894476024310749,4,444,0.1236405000000004,success,adult_sex_race,sex x race,True,0.1722815800012646,0.0763419296106313,0.0790120962083578,0.0297743596849811,0.2175459592433762,0.2301587301587301,0.0894476024310749,4
adult,logistic_regression,baseline,60,0.8498387839705205,[0.25695859],0.1736141653815534,0.0740849809261722,0.0745118294741616,0.0625657227516393,0.1736141653815534,0.0740849809261722,0.2061513480264392,0.1311465858774178,0.0784605898674339,4,398,0.1411388999999996,success,adult_sex_race,sex x race,True,0.1736141653815534,0.0740849809261722,0.0745118294741616,0.0625657227516393,0.2061513480264392,0.1311465858774178,0.0784605898674339,4
adult,logistic_regression,baseline,61,0.8490710885920467,[0.2364453],0.1652609347585812,0.0394796380090497,0.0573201804350952,0.0253172106338248,0.1652609347585812,0.0394796380090497,0.1799839128327933,0.073968253968254,0.0645864548222486,4,423,0.1540166000000002,success,adult_sex_race,sex x race,True,0.1652609347585812,0.0394796380090497,0.0573201804350952,0.0253172106338248,0.1799839128327933,0.073968253968254,0.0645864548222486,4
