dataset,model,mitigation,seed,accuracy,cfs,sex_abs_spd,sex_abs_eod,race_abs_spd,race_abs_eod,max_marginal_abs_spd,max_marginal_abs_eod,intersectional_pr_range,intersectional_tpr_range,intersectional_fpr_range,n_intersectional_cells,min_cell_n,runtime_seconds,status
adult,xgboost,baseline,44,0.8693382465837556,[0.2729103],0.18149975137387367,0.1197238304825411,0.09445230451107361,0.03923611111111114,0.18149975137387367,0.1197238304825411,0.23964108055356007,0.23673135375263038,0.07850119791711038,4,418,1.1843411999999987,success
adult,xgboost,baseline,45,0.8633502226316597,[0.2748167],0.19042150377991449,0.11077140698590282,0.09929920506843586,0.12250937468328771,0.19042150377991449,0.12250937468328771,0.23806288282575103,0.2847273300409793,0.08387174036705487,4,412,1.2182772000000028,success
adult,xgboost,baseline,46,0.8696453247351451,[0.26654293],0.1770208152920726,0.10548594595457372,0.10200494354354243,0.08211805555555551,0.1770208152920726,0.10548594595457372,0.21477270764855888,0.1180547188072093,0.06175399140223261,4,455,1.2382577999999995,success
adult,xgboost,baseline,47,0.8671886995240289,[0.27338004],0.18372032607243086,0.10659323224768247,0.09806621580738449,0.05223910080398242,0.18372032607243086,0.10659323224768247,0.2263952548524011,0.15142857142857147,0.08226230641010959,4,421,1.2069742000000012,success
adult,xgboost,baseline,48,0.8719484108705665,[0.27713708],0.18593140784993845,0.1292954622172927,0.08115633000759101,0.036537102848916536,0.18593140784993845,0.1292954622172927,0.224713169886997,0.2305562547193556,0.06555537529742592,4,397,1.0888439000000005,success
adult,xgboost,baseline,49,0.8608935974205435,[0.22235585],0.15270753289265848,0.044493586908447624,0.09930139466102345,0.13593179602294636,0.15270753289265848,0.13593179602294636,0.21754385964912282,0.3156351791530945,0.06169991549181085,4,399,1.145143700000002,success
adult,xgboost,baseline,50,0.8694917856594503,[0.26519338],0.17696146003030336,0.1089965826358279,0.06299621284413964,0.02248384781048096,0.17696146003030336,0.1089965826358279,0.2051844472674874,0.21666666666666662,0.06548281537798331,4,435,1.1507502999999986,success
adult,xgboost,baseline,51,0.8751727314601566,[0.26038011],0.18165319559360404,0.0824912064280594,0.09028311358008166,0.005354850540986611,0.18165319559360404,0.0824912064280594,0.22436623918878612,0.08813891463791446,0.0721623009758603,4,420,1.143949499999998,success
adult,xgboost,baseline,52,0.8682634730538922,[0.26806516],0.1833961850250201,0.10959753646122927,0.07847672985136411,0.056880520999326056,0.1833961850250201,0.10959753646122927,0.21176387978653682,0.1859981933152665,0.05909432077818741,4,440,1.0354354000000008,success
adult,xgboost,baseline,53,0.8731767234761246,[0.2584913],0.18028534842852473,0.08075412411626082,0.1038886534763193,0.07344725599737101,0.18028534842852473,0.08075412411626082,0.22453417696293343,0.1486482956771582,0.07677922077922078,4,416,1.1193357999999982,success
adult,xgboost,baseline,54,0.865806847842776,[0.28018615],0.17589706138122388,0.1482644219795064,0.08963870160072254,0.039408866995073955,0.17589706138122388,0.1482644219795064,0.20921984588808087,0.15896933958464243,0.07153959348845765,4,452,1.1340643999999998,success
