dataset,protected_attribute,model,constraint,mitigation,seed,accuracy,abs_spd,abs_eod,cfs,runtime_seconds,status,error
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,60,0.8032,0.14539779378275086,0.01312011158915627,[0.21603108],42.49303169999985,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,61,0.8071,0.16481465179353677,0.05637994940283575,[0.22814749],53.03416619999962,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,62,0.8113,0.1477728896151813,0.04612324077663221,[0.22628897],44.88038910000023,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,63,0.8028,0.1655556124981119,0.06458280710617159,[0.22992782],42.7203399,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,64,0.8026,0.1629779332244492,0.057895740698797216,[0.22833312],46.728866299999936,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,65,0.8049,0.15906782536078712,0.037466594336654,[0.2225187],46.58847969999988,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,66,0.8006,0.16424288146109234,0.03736322859642327,[0.22177241],44.41895710000017,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,67,0.8074,0.1529697952768092,0.036562208656348405,[0.22300259],43.635438299999805,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,68,0.8066,0.16948976556868822,0.04269434026568619,[0.223668],43.06570640000018,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,69,0.8034,0.15871504909326417,0.049490376028330174,[0.22551939],54.29940429999988,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,70,0.8055,0.13848276280624766,0.03130250771577814,[0.22284937],47.068671300000005,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,71,0.8001,0.15466163159010166,0.0349478262198365,[0.22332491],39.25444789999983,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,42,0.8524489482573315,0.019477942022439354,0.31981424148606813,[0.35062433],37.418231300000116,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,43,0.8493781667434362,0.0074289287014924765,0.343887200270179,[0.37577726],35.289148999999725,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,44,0.852141870105942,0.014310791231213704,0.2971907653849908,[0.34984371],30.832442199999605,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,45,0.8510670965760786,0.01908772738439171,0.3041037758595746,[0.34626164],34.900810999999976,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,46,0.8519883310302472,0.027207244593973695,0.26832452794049577,[0.32269386],31.018895200000316,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,47,0.8506064793489944,0.01924169450755045,0.3156093470229596,[0.34965],39.843523800000185,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,48,0.8530631045601106,0.020372362864703397,0.2910257028499783,[0.34021258],30.95325469999989,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,49,0.8398587440503608,0.011813247152583861,0.34117647058823536,[0.37015171],30.690666599999986,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,50,0.8519883310302472,0.014000754419875167,0.32032836412262894,[0.3580228],34.85940099999971,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,51,0.8535237217871948,0.028179890637205662,0.3067331255105272,[0.33559026],31.154407300000003,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,52,0.852141870105942,0.023418864436746317,0.2849393382090871,[0.33602564],35.08580720000009,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,53,0.8522954091816367,0.018723703250133283,0.2946975648075413,[0.34390977],31.010353399999985,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,54,0.8512206356517734,0.023180931860982773,0.24422229657262035,[0.31698115],31.451751500000228,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,55,0.8479963150621833,0.003585104903777142,0.3439564121614731,[0.38096701],30.990234500000042,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,56,0.8438507600184247,0.003610363382275661,0.29731990209463366,[0.36318481],36.343580100000054,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,57,0.8522954091816367,0.029549269081809937,0.3211118755828127,[0.33993337],30.99810720000005,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,58,0.8483033932135728,0.027046478631408993,0.30180623973727416,[0.3335104],30.91159549999975,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,59,0.8427759864885613,0.020295828678624867,0.275789671702157,[0.33368969],31.948727199999666,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,60,0.8460003070781514,0.021884968906753677,0.33059157637485576,[0.35154308],31.314564300000256,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,61,0.8499923230462153,0.0169650747276133,0.3663461538461539,[0.3719654],35.581274399999984,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,62,0.8458467680024566,0.025631839957291985,0.29006370480681726,[0.33392978],35.55380289999994,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,63,0.8549055734684478,0.015934764933760587,0.2829443125308006,[0.34169051],35.8448171,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,64,0.8464609243052357,0.002065773620758604,0.33515747185895745,[0.37924937],40.043340799999896,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,65,0.8484569322892677,0.004513478279912275,0.3298734373786785,[0.37429177],32.071194500000274,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,66,0.8487640104406572,0.021876562425043572,0.2875604242039458,[0.33778317],32.178421399999934,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,67,0.8498387839705205,0.01755800525342832,0.3072924849437026,[0.34912932],35.77387960000033,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,68,0.8464609243052357,0.012435864868481944,0.30320150659133716,[0.35380239],31.69546040000023,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,69,0.8513741747274681,0.0041641286233206065,0.35845081834386644,[0.38519301],35.536751299999196,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,70,0.849531705819131,0.025476778338599432,0.28587118996555533,[0.33167388],35.9299689999998,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,71,0.8493781667434362,0.008976208318920514,0.3327649662240857,[0.36779809],31.32746009999937,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,42,0.865806847842776,0.13261685209884225,0.007916850950906662,[0.13865844],40.561855599999944,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,43,0.8647320743129127,0.09840921469478257,0.06366092536305301,[0.17880057],47.33700610000051,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,44,0.8671886995240289,0.12897898251901133,0.012328771436037389,[0.147033],44.974132700000155,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,45,0.8630431444802702,0.1285585350761969,0.004603687450772442,[0.14381788],41.48629059999985,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,46,0.8668816213726394,0.11851525629000395,0.016599894654514613,[0.14414477],45.6598640000002,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,47,0.862582527253186,0.12945994921822795,0.0001586546089163976,[0.13671173],50.14699479999945,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,48,0.8681099339781975,0.12494449818260844,0.03088521322595683,[0.15381388],46.576044000000365,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,49,0.8592046675879011,0.10520267276086862,0.06470588235294117,[0.17124521],47.451834399999825,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,50,0.8653462306156917,0.12189956848702106,0.007911940963795772,[0.14621276],46.019436499999756,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,51,0.872255489021956,0.13146938320021684,0.0330071515495024,[0.14219386],46.215957499999604,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,52,0.8621219100261016,0.12124416513857171,0.008518312589994803,[0.14698272],50.85826470000029,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,53,0.8659603869184708,0.12677069330426616,0.001361612987693106,[0.14372286],45.01551250000011,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,54,0.8630431444802702,0.11606234399791805,0.0325383747072453,[0.15551228],46.74158820000048,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,55,0.8651926915399969,0.0999282227424925,0.10059000917792049,[0.19301684],51.25149329999931,success,
