analysis,dataset,protected_attribute,model,mitigation,config_id,config_label,seed,accuracy,f1,abs_spd,abs_eod,cfs,runtime_seconds,status,error,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,rank_accuracy_desc,rank_cfs_asc,delta_accuracy_vs_default,delta_cfs_vs_default
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",45,0.8604329801934593,0.6795911173775115,0.1766037248493849,0.10206555110832494,0.1660003044116392,0.8474481000000011,success,,300,3,0.05,0.9,0.9,4.0,2.0,-0.0029172424382004625,-0.00644011424010571
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",46,0.865806847842776,0.6819505094614264,0.1682137510930622,0.10727043462993413,0.16193279901574908,0.8653924000000046,success,,300,3,0.05,0.9,0.9,4.0,1.0,-0.003838476892369158,-0.0037266908181955993
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",47,0.8616612927990174,0.674141048824593,0.17472564479486835,0.1081571133927155,0.16122656054469836,0.8999333000000007,success,,300,3,0.05,0.9,0.9,4.0,2.0,-0.005527406725011508,-0.004283296189142194
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",48,0.8682634730538922,0.6970338983050848,0.17681462179932417,0.11425310636382635,0.1692961370530346,0.8727354999999974,success,,300,3,0.05,0.9,0.9,4.0,2.0,-0.0036849378166743385,-0.008719090279709574
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",49,0.8622754491017964,0.6739367502726281,0.14593536959566883,0.01835471030517477,0.14035133106182338,1.0991440999999966,success,,300,3,0.05,0.9,0.9,2.0,1.0,0.0013818516812529325,-0.010191325715729366
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",50,0.8633502226316597,0.677536231884058,0.1634470912430333,0.10434104303897773,0.16489540524996765,1.7938510000000036,success,,300,3,0.05,0.9,0.9,4.0,1.0,-0.006141563027790564,-0.004935129138438077
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",51,0.8704130201136189,0.6953068592057762,0.17941301194063164,0.10956040475436346,0.15961448914322074,2.047158700000004,success,,300,3,0.05,0.9,0.9,4.0,4.0,-0.004759711346537743,0.002629459570897774
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",52,0.8647320743129127,0.685469475187433,0.17874879449890113,0.11245598277803914,0.16334742407528174,1.477336000000001,success,,300,3,0.05,0.9,0.9,4.0,1.0,-0.003531398740979519,-0.006106197472236008
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",53,0.8688776293566712,0.6905797101449276,0.17184513374624094,0.1158549358470804,0.16373848442715283,1.0558564000000032,success,,300,3,0.05,0.9,0.9,4.0,3.0,-0.004299094119453395,0.005810924068559875
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",54,0.8651926915399969,0.681422351233672,0.1666634260824157,0.13886812984081026,0.17456009437494466,1.2614422999999988,success,,300,3,0.05,0.9,0.9,4.0,3.0,-0.0006141563027790564,-0.008594490686816197
