dataset,model,mitigation,protected_attribute,n_seeds,positive_rate_proxy,mean_accuracy,sd_accuracy,mean_abs_spd,sd_abs_spd,mean_abs_eod,sd_abs_eod,mean_abs_aod,sd_abs_aod,mean_abs_di_violation,sd_abs_di_violation,mean_cfs_original,sd_cfs_original,mean_cfs_no_di,sd_cfs_no_di,mean_cfs_di_clipped,sd_cfs_di_clipped,mean_cfs_four_fifths,sd_cfs_four_fifths
acs_income_ca_2018,logistic_regression,baseline,age_group,30,,0.7706633333333333,0.004539518684294347,0.21793521359668194,0.007674360551850227,0.13839808456770203,0.013023572059285518,0.12264526270875588,0.008503331458639593,0.45659136198973144,0.012689332850635162,0.23389248071571786,0.00966305942932963,0.1596595202910466,0.009091712634159536,0.23389248071571786,0.00966305942932963,0.18389248071571787,0.00966305942932963
acs_income_ca_2018,logistic_regression,baseline,sex,30,,0.7706633333333333,0.004539518684294347,0.02309139025985512,0.009853749218752208,0.04038249820837996,0.010544401260312546,0.040337571400671804,0.006885647054617147,0.05709189283717184,0.023690795352545247,0.040225838176519695,0.0065901005258753136,0.0346038199563023,0.004273699527014477,0.040225838176519695,0.0065901005258753136,0.02595286496722672,0.0032052746452608575
acs_income_ca_2018,logistic_regression,equalized_odds,age_group,30,,0.7337500000000001,0.005771496548885149,0.08875157857431278,0.009432330976039105,0.014114756631162111,0.010040482482402292,0.007596382824097836,0.006749582544959997,0.21537950971416603,0.02093379433721198,0.08146055693593471,0.007273615806509804,0.036820906009857574,0.0051119562564183995,0.08146055693593471,0.007273615806509804,0.03228167365838201,0.006527402817729671
acs_income_ca_2018,logistic_regression,equalized_odds,sex,30,,0.7619866666666666,0.005217195265349155,0.058781250398441336,0.01319468876572928,0.012821618382758214,0.010516497656928966,0.008171735621065598,0.008098698507634268,0.13737081398109743,0.02882078346588224,0.05428635459584064,0.00953291210877337,0.026591534800755053,0.00548194672009091,0.05428635459584064,0.00953291210877337,0.019943651100566284,0.004111460040068183
acs_income_ca_2018,logistic_regression,reweighing,age_group,30,,0.7724333333333334,0.004646714325519535,0.20652762731220203,0.007480155073334281,0.12596084861579132,0.013563336460164131,0.11016123901239074,0.008242644982098498,0.4386086942934669,0.01316624128614636,0.22031460230846275,0.009624995525863883,0.14754990498012804,0.008988968058416903,0.22031460230846275,0.009624995525863883,0.17031460230846276,0.009624995525863883
acs_income_ca_2018,logistic_regression,reweighing,sex,30,,0.7704433333333333,0.00471853888353189,0.01797084407804307,0.00948409550971265,0.04715295301678772,0.010945422047835576,0.04590593741530004,0.006934229951011472,0.044445324439984196,0.023013489668197995,0.03886876473752875,0.006447788759371284,0.03700991150337694,0.00447847396313204,0.03886876473752875,0.006447788759371284,0.0277574336275327,0.0033588554723490292
acs_income_ca_2018,mlp,baseline,age_group,30,,0.7886466666666666,0.0043321359972709255,0.20468432436161385,0.011203858654793812,0.10174905981363834,0.016559955872725858,0.09743665972715407,0.0101792982602667,0.4291301981331645,0.017850460647599656,0.2082500605088927,0.012511559884837957,0.13462334796746872,0.011621314313854231,0.2082500605088927,0.012511559884837957,0.15825006050889268,0.012511559884837957
acs_income_ca_2018,mlp,baseline,sex,30,,0.7886466666666666,0.0043321359972709255,0.05085542515993144,0.012066835989847024,0.018082348824022355,0.007755532630870573,0.017538000173077845,0.007043856187719942,0.12062983335120413,0.026044005245279476,0.051776401877058946,0.008005303392284639,0.02882525805234388,0.0040338274823441544,0.051776401877058946,0.008005303392284639,0.021618943539257904,0.003025370611758116
acs_income_ca_2018,mlp,equalized_odds,age_group,30,,0.7555133333333335,0.006222081552870759,0.10079398587349046,0.010305913494041695,0.017815660698912484,0.011132685056208973,0.009380561317169323,0.006346157686598046,0.22877228501129646,0.020249966227498865,0.08919062322521717,0.0085755720322126,0.04266340262985742,0.006779854461466968,0.08919062322521717,0.0085755720322126,0.03927106175051224,0.008525310462581589
acs_income_ca_2018,mlp,equalized_odds,sex,30,,0.7836499999999998,0.005316581089643857,0.06476468990157107,0.011934503747845274,0.009029888067121157,0.0073442472819939455,0.006341474044606521,0.005493389962180539,0.14828422185619677,0.024465401958634038,0.05710506846737388,0.00905948680633893,0.026712017337766243,0.005109221280352455,0.05710506846737388,0.00905948680633893,0.020073764848915245,0.003958451095138312
