analysis,setting_id,dataset,protected_attribute,model,constraint,mitigation,seed,not_part_of_main_grid,accuracy,abs_spd,abs_eod,cfs,runtime_seconds,status,error
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,71,True,0.8192845079072624,0.03949944292797605,0.038963756193591936,0.21497660381562766,8.953816500000016,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,42,True,0.8645785352372178,0.16415102104452584,0.0903639105479116,0.15712392694035726,10.437950900000033,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,43,True,0.8673422385997236,0.15011372870944828,0.0305311511548485,0.13759226233151658,10.99593440000001,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,44,True,0.8694917856594503,0.16427747656829378,0.008447589562140645,0.12753507626879274,15.446111599999995,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,45,True,0.863196683555965,0.15428306241794304,0.0029003223912078546,0.1316223164678746,13.484103800000014,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,46,True,0.8678028558268079,0.1469368559503059,0.028464905583549638,0.13554989655633803,13.37458399999997,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,47,True,0.8618148318747121,0.16752624588919807,0.08117213997524547,0.14952848722381623,10.831027900000038,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,48,True,0.8699524028865346,0.16583522904679066,0.011374335466813768,0.13116206076384523,11.051062700000045,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,49,True,0.8621219100261016,0.165282571790722,0.06295358649789029,0.14093558794453784,12.236650099999963,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,50,True,0.8665745432212498,0.15706933764542738,0.056817806098679036,0.14433534620499225,11.985561399999995,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,51,True,0.8725625671733456,0.16023271051575277,0.00883191154139995,0.1286976924809768,15.854922099999953,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,52,True,0.8668816213726394,0.14920277464400186,0.032012139605462786,0.14111923161705603,12.215207099999986,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,53,True,0.8713342545677875,0.16322670417994953,0.08863948694457169,0.1530815157047618,11.240673900000047,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,54,True,0.8674957776754184,0.16529421834294844,0.08676715910969501,0.15029719778461675,11.135799099999986,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,55,True,0.8644249961615231,0.1507268783100269,0.035697482945189374,0.13966015339889898,15.507347600000003,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,56,True,0.8590511285122063,0.15116394219337148,0.02538405976104341,0.13779806576364273,12.24829950000003,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,57,True,0.8681099339781975,0.15308075009567548,0.031112033327480804,0.13068368022539523,18.398932899999977,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,58,True,0.8667280822969445,0.1524978537062613,0.0327663134411601,0.1379541600811877,11.319319699999994,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,59,True,0.8588975894365116,0.1397922779315076,0.0364766480114902,0.1408352396794771,12.94734369999992,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,60,True,0.8659603869184708,0.14722758103474723,0.02522662140388432,0.13480741347118935,14.85269320000009,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,61,True,0.8665745432212498,0.14220167375475667,0.03172355520592052,0.13962679309886813,11.473334699999896,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,62,True,0.8622754491017964,0.14055109070034444,0.03250188964474676,0.1385650308969429,16.89506730000005,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,63,True,0.8681099339781975,0.1522695468040154,0.051700680272108834,0.141361953321404,15.812133000000017,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,64,True,0.8676493167511131,0.16870068276521388,0.12267839687194526,0.16432834029962393,13.147701999999981,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,65,True,0.860586519269154,0.16392727611615399,0.010901838126968988,0.12846562310428353,29.403077900000085,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,66,True,0.8674957776754184,0.1474197556625205,0.05689436650496038,0.14764264069813415,19.641446599999995,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,67,True,0.8648856133886074,0.16770235420198387,0.03172104067726622,0.13627134280032446,15.338831200000072,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,68,True,0.8645785352372178,0.1633109759509328,0.058000309389986016,0.13923411245948028,15.990166000000045,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,69,True,0.8662674650698603,0.14962930127372942,0.015409477273884087,0.12931413863889057,18.77336839999998,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,70,True,0.8633502226316597,0.14694922194922194,0.012190156257952833,0.13032196400923085,16.94979680000006,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,EO,ExponentiatedGradient_EO,71,True,0.8638108398587441,0.15621315625472293,0.07703988308654064,0.14715284401324819,15.418677399999979,success,
