dataset,dataset_label,protected_attribute,model,joint_feasible_all_seeds,n_pairs,mean_accuracy_diff_protected_minus_target,sd_accuracy_diff,mean_accuracy_target_stratified,mean_accuracy_protected_aware,mean_cfs_diff_protected_minus_target,sd_cfs_diff,mean_cfs_target_stratified,mean_cfs_protected_aware,mean_abs_spd_diff_protected_minus_target,sd_abs_spd_diff,mean_abs_spd_target_stratified,mean_abs_spd_protected_aware,mean_abs_eod_diff_protected_minus_target,sd_abs_eod_diff,mean_abs_eod_target_stratified,mean_abs_eod_protected_aware,mean_abs_aod_diff_protected_minus_target,sd_abs_aod_diff,mean_abs_aod_target_stratified,mean_abs_aod_protected_aware
bank_uci,UCI Bank Marketing,job_group,logistic_regression,True,30,0.00027110140001618634,0.00205476980525577,0.8977543092983733,0.8980254106983895,0.005429869523599049,0.02969306958152051,0.03315110168754876,0.03858097121114782,0.001064208412408513,0.003944238745493559,0.0035615511332757867,0.004625759545684299,-0.0017955708488756523,0.025977542105447397,0.02548437768258703,0.02368880683371138,-0.0005828795977485511,0.013255399069540569,0.012614343224488189,0.01203146362673964
bank_uci,UCI Bank Marketing,job_group,random_forest,True,30,0.0005179250627174911,0.0033700482007347154,0.8828113619810636,0.8833292870437808,0.0013036623954245702,0.025157011768808555,0.02783010838230156,0.02913377077772612,0.0003167953148345006,0.005396026605448291,0.004862877287499763,0.005179672602334263,0.0004320010566295209,0.031634488680821575,0.027069635693160846,0.02750163674979037,0.0006218251798522075,0.01614138815744163,0.012826714537220073,0.013448539717072284
bank_uci,UCI Bank Marketing,job_group,gradient_boosting,True,30,0.00019826818807154866,0.0015035185454489494,0.899898842761188,0.9000971109492595,0.010575953562769832,0.029601471926846496,0.030092484799226847,0.04066843836199667,0.0018099805227617589,0.004103505733891816,0.003358007931359132,0.00516798845412089,0.001322226699169815,0.025404900369571052,0.026629267095962292,0.027951493795132103,0.0011572810646222514,0.012235199534155245,0.013105111559116402,0.014262392623738653
bank_uci,UCI Bank Marketing,job_group,xgboost,True,30,0.0006069434328720573,0.0026635020186224884,0.8974346524237276,0.8980415958565994,0.009790123204862312,0.02749655208486119,0.03279221128454772,0.04258233448941005,0.001361676488842985,0.0048197298664382935,0.0045689528982618315,0.005930629387104816,0.006625111592969954,0.02674917472882413,0.02517475580657811,0.031799867399548064,0.003285622556817233,0.013599841042163769,0.012711488791651699,0.015997111348468932
bank_uci,UCI Bank Marketing,job_group,mlp,True,30,0.0002872865582260964,0.0027610087667361565,0.8974265598446224,0.8977138464028486,0.012159858493440544,0.026850125759620175,0.029848809930026955,0.042008668423467496,0.0017001322413553155,0.0036240464885468654,0.003534113018281718,0.0052342452596370334,0.0026859270881426276,0.02566192415882883,0.024553379974584066,0.0272393070627267,0.0016907856974616364,0.012612389331367308,0.012276927469722856,0.013967713167184492
acs_income_ca_2018,ACSIncome CA 2018,sex,logistic_regression,True,30,0.0009266666666666682,0.0027767424890642357,0.7619866666666666,0.7629133333333332,-0.0005671549205260621,0.00723906193367895,0.054286354595840684,0.05371919967531462,-0.001405001746646493,0.007769364116548401,0.058781250398441384,0.057376248651794894,0.00015018607288423967,0.01234479910158209,0.012821618382758264,0.012971804455642503,0.0019754872091616326,0.0063295534031894175,0.008171735621065636,0.010147222830227268
acs_income_ca_2018,ACSIncome CA 2018,sex,random_forest,True,30,-0.0004933333333333197,0.0038934014322496635,0.7787733333333334,0.7782800000000001,0.0012773055601365743,0.008225810023303718,0.05819116950868751,0.05946847506882407,0.002138117529018437,0.008140729959395824,0.06384704916481357,0.065985166693832,-0.00030996814681327013,0.013645502226570082,0.013221554029177162,0.012911585882363892,-0.0008733202179487415,0.005430109156873332,0.008293192218400204,0.007419872000451462
acs_income_ca_2018,ACSIncome CA 2018,sex,gradient_boosting,True,30,-0.0002066666666666624,0.00213847082544149,0.7995133333333333,0.7993066666666666,0.00032289845807410915,0.008523200056389742,0.06254122911739503,0.06286412757546915,-0.000727586121999398,0.007382277246832941,0.07038595418751346,0.06965836806551406,0.002370534968138212,0.01224601924659744,0.010184677106294856,0.012555212074433069,0.0009972600116046222,0.006996829383530595,0.00718670419446673,0.008183964206071351
acs_income_ca_2018,ACSIncome CA 2018,sex,xgboost,True,30,0.00013999999999999568,0.004181453302876642,0.8086566666666666,0.8087966666666666,0.0007018014171206138,0.009012043155385093,0.06413197197448728,0.06483377339160785,0.001315410607931903,0.010070170245358006,0.0724519123022859,0.07376732291021781,0.00010250108881426264,0.012228616233865003,0.0111232806737298,0.011225781762544063,-0.0009711228433848727,0.008980174434795887,0.009367446130170575,0.008396323286785705
acs_income_ca_2018,ACSIncome CA 2018,sex,mlp,True,30,-0.0004333333333333337,0.0038768395707678275,0.7836499999999998,0.7832166666666667,0.002147027927500807,0.006990835851400593,0.057105068467373926,0.05925209639487472,0.00032934933496109504,0.008127090909047122,0.0647646899015711,0.06509403923653219,0.0044575855170692295,0.012173608654247629,0.009029888067121199,0.013487473584190427,0.002205729447535844,0.007159465128473444,0.006341474044606572,0.008547203492142415
acs_income_ca_2018,ACSIncome CA 2018,age_group,logistic_regression,True,30,-0.00014999999999998348,0.004003769775323387,0.7337500000000001,0.7336000000000003,-0.0002050022846949574,0.009373160493369087,0.08146055693593474,0.08125555465123975,-0.0010094613309562536,0.009998180474732584,0.08875157857431283,0.08774211724335657,0.0014436781132644756,0.01241692373948671,0.014114756631162162,0.015558434744426638,0.0019488210036648908,0.007542791849714265,0.007596382824097894,0.009545203827762784
acs_income_ca_2018,ACSIncome CA 2018,age_group,random_forest,True,30,0.0008466666666666549,0.00564848062166573,0.75396,0.7548066666666668,-0.0008784695058031473,0.013128661465673382,0.08896848614331952,0.08809001663751641,0.00042417200248458334,0.013199876250472972,0.10104588557387996,0.10147005757636454,-0.002221012307383415,0.015509061136795212,0.01711129120609618,0.014890278898712766,-0.002931200420498026,0.0104708476534565,0.010826878542851033,0.007895678122353008
acs_income_ca_2018,ACSIncome CA 2018,age_group,gradient_boosting,True,30,-0.0003866666666666759,0.0037759432101710467,0.77057,0.7701833333333334,-0.0019272375373748291,0.00893561207820613,0.09417101419624402,0.09224377665886914,-0.002090412131701367,0.010224528346790192,0.10638222740504658,0.10429181527334519,-0.0006823425900367478,0.016115900601573457,0.015362158965767658,0.01467981637573091,-0.0003044757539617212,0.0068980889323330625,0.00846148225444293,0.00815700650048121
acs_income_ca_2018,ACSIncome CA 2018,age_group,xgboost,True,30,3.333333333333706e-05,0.004561482920803454,0.7802466666666666,0.78028,-0.0022872156591798145,0.012296988814552452,0.09923097626871866,0.09694376060953885,-0.000879907844010334,0.011070595555306335,0.11208231378087494,0.11120240593686462,-0.003679010315428144,0.016542599492903334,0.01929467231976143,0.015615662004333286,-0.0015639992826343662,0.009338488481277411,0.011491931636632828,0.009927932353998463
acs_income_ca_2018,ACSIncome CA 2018,age_group,mlp,True,30,0.0004566666666666682,0.005771612057919898,0.7555133333333335,0.75597,0.00011695526312405224,0.008783854353330718,0.08919062322521723,0.08930757848834127,-0.0012498339825798492,0.011573630063080233,0.1007939858734905,0.09954415189091063,0.00011892604083401463,0.014527066105458038,0.017815660698912533,0.017934586739746548,0.0002769412783350101,0.00805977513806172,0.009380561317169373,0.00965750259550438
