analysis,dataset,evaluation_cells,model,condition_id,mitigation,eo_protected_attribute,eo_protected_column,seed,accuracy,f1,sex_abs_spd,sex_abs_eod,race_abs_spd,race_abs_eod,marginal_abs_spd,marginal_abs_eod,subgroup_pr_gap,subgroup_tpr_gap,subgroup_fpr_gap,n_cells,min_cell_n,cfs_sex,runtime_seconds,status,error
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,equalized_odds_race,equalized_odds,race,race_binary,54,0.8384768923691079,0.6056971514242878,0.1395773409232802,0.10388765724327492,0.03546264302380456,0.06192821956368755,0.1395773409232802,0.10388765724327492,0.14609687575078778,0.17495543672014258,0.05541691424044365,4,452,0.24211094796677343,0.4795437000000007,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,equalized_odds_race,equalized_odds,race,race_binary,55,0.8430830646399509,0.6209198813056379,0.13165395845938194,0.006348790116982084,0.0475763166162011,0.016179995641751987,0.13165395845938194,0.016179995641751987,0.13895078697058896,0.11373773416592325,0.05374434378757423,4,440,0.1922690462365666,0.40950329999999724,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,equalized_odds_race,equalized_odds,race,race_binary,56,0.8354061108552127,0.611875452570601,0.15764442150448355,0.07989250089172595,0.028221491214307837,0.05891317276241448,0.15764442150448355,0.07989250089172595,0.17680348416175018,0.14568036529680367,0.10185500340367597,4,438,0.24631569549539095,0.42917959999999766,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,equalized_odds_race,equalized_odds,race,race_binary,57,0.8433901427913404,0.6367521367521367,0.16533669455701777,0.03451298689959381,0.06327897427214935,0.034871794871794926,0.16533669455701777,0.034871794871794926,0.17426660254448476,0.12305084745762718,0.07460351326363701,4,435,0.23195188050851961,0.4533765999999986,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,equalized_odds_race,equalized_odds,race,race_binary,58,0.8430830646399509,0.633428981348637,0.1621237358805213,0.09233295440191985,0.039415048315977114,0.024047619047619095,0.1621237358805213,0.09233295440191985,0.17105561721162735,0.11552888222055518,0.06286132514034777,4,417,0.25156058427284816,0.4380888999999968,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,equalized_odds_race,equalized_odds,race,race_binary,59,0.8261937663135268,0.5737951807228916,0.1493002128870434,0.09164659524937269,0.012027167354270146,0.09159564886025079,0.1493002128870434,0.09164659524937269,0.16557308753840547,0.19595810832924232,0.08825541730605702,4,444,0.25073673689004683,0.42065970000000164,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,equalized_odds_race,equalized_odds,race,race_binary,60,0.8421618301857823,0.6302158273381294,0.17135663424655245,0.09208241518324073,0.045140971049913076,0.03194885192576424,0.17135663424655245,0.09208241518324073,0.17679554411059448,0.14483803309251925,0.08005984336257792,4,398,0.2632082938584921,0.42387739999999496,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,equalized_odds_race,equalized_odds,race,race_binary,61,0.8432366037156457,0.6365254538981844,0.15880744983163422,0.03653846153846152,0.03206931888085665,0.004741385737076831,0.15880744983163422,0.03653846153846152,0.16667246590733242,0.07744107744107742,0.0913831060986443,4,423,0.22466464334168548,0.4877238999999989,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,equalized_odds_race,equalized_odds,race,race_binary,62,0.8335636419468755,0.6052439912600146,0.15605766860666342,0.05315793828079751,0.04704284847501447,0.06122159090909096,0.15605766860666342,0.06122159090909096,0.16161736884472025,0.17748205741626788,0.07493185256484855,4,424,0.23516398575871608,0.41553740000000516,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,equalized_odds_race,equalized_odds,race,race_binary,63,0.8456932289267619,0.6399140093156576,0.16970427407655395,0.09940713528366413,0.020347979342569072,0.0697298406071648,0.16970427407655395,0.09940713528366413,0.17211444236065354,0.17782789162336182,0.08089759005082348,4,419,0.2631184325622346,0.4384439000000029,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,equalized_odds_race,equalized_odds,race,race_binary,64,0.846307385229541,0.6397984886649873,0.15642503992725215,0.06786823851140622,0.05724035548262599,0.06742975132417628,0.15642503992725215,0.06786823851140622,0.18265648874240759,0.10100298183789647,0.0758498975486457,4,419,0.2369286332878462,0.4039050999999958,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,equalized_odds_race,equalized_odds,race,race_binary,65,0.8403193612774451,0.6223674655047203,0.14558551873922754,0.07700908455625438,0.06017722003157841,0.037285846906911946,0.14558551873922754,0.07700908455625438,0.16598347203886188,0.08245349421820009,0.07173920606756429,4,426,0.23072156755955672,0.47097509999999687,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,equalized_odds_race,equalized_odds,race,race_binary,66,0.8386304314448026,0.6050357008643368,0.14289666274006044,0.07616389026057574,0.04127069511684897,0.06695601490455672,0.14289666274006044,0.07616389026057574,0.15653749858025395,0.25243506493506496,0.05285187936636576,4,421,0.23643906746279508,0.43047189999999347,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,equalized_odds_race,equalized_odds,race,race_binary,67,0.8413941348073085,0.6217502746246797,0.14704638928928288,0.053639696255564306,0.044101082491943416,0.02782974202637467,0.14704638928928288,0.053639696255564306,0.17010714349293382,0.18950495049504956,0.07100743647506237,4,406,0.22680471547395786,0.39883700000000033,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,equalized_odds_race,equalized_odds,race,race_binary,68,0.8426224474128666,0.6279491833030854,0.1521251435288622,0.015918460833715065,0.054980947196516056,0.01199387584753897,0.1521251435288622,0.015918460833715065,0.1890504344274072,0.054537885095753524,0.08359981984010809,4,443,0.21595409676231742,0.41241939999999744,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,equalized_odds_race,equalized_odds,race,race_binary,69,0.8367879625364655,0.6049795615013006,0.14152473658780168,0.05682908891465044,0.03765330814511142,0.031023173014634198,0.14152473658780168,0.05682908891465044,0.1482601410955351,0.09329039700086517,0.08430057322854789,4,446,0.22500627708143522,0.6905836000000036,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,equalized_odds_race,equalized_odds,race,race_binary,70,0.8352525717795178,0.6096762459076027,0.16593030847748752,0.1473581594852798,0.05419834934691237,0.007962032203672864,0.16593030847748752,0.1473581594852798,0.17203164160401002,0.1965944272445821,0.07642256002253761,4,448,0.28053167153046155,0.8026406000000037,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,logistic_regression,equalized_odds_race,equalized_odds,race,race_binary,71,0.8447719944725933,0.6400854396582414,0.1551988028452259,0.05026787794083387,0.054990999919672434,0.008363068688670872,0.1551988028452259,0.05026787794083387,0.16400974317698241,0.15492957746478875,0.0702013191607751,4,420,0.22612925205147905,0.8262374000000037,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,xgboost,baseline,baseline,,,42,0.8622754491017964,0.6869109947643979,0.17813899529992286,0.06616541353383465,0.08810010265725435,0.053108380707867164,0.17813899529992286,0.06616541353383465,0.21167695473251028,0.17911428446274474,0.07865910821761457,4,414,0.2510211954116708,3.1579379000000003,success,
