dataset,model,mitigation,protected_attribute,mean_accuracy,mean_acfs_balanced,mean_acfs_statistical_parity,mean_acfs_equal_opportunity,mean_acfs_regulatory_risk,rank_acfs_balanced,rank_acfs_statistical_parity,rank_acfs_equal_opportunity,rank_acfs_regulatory_risk
adult,random_forest,baseline,race,0.8448,0.1375,0.1143,0.1003,0.1526,14.0,14.0,14.0,14.0
adult,xgboost,baseline,race,0.8677,0.1425,0.1174,0.1058,0.1583,15.0,16.0,16.0,15.0
adult,logistic_regression,baseline,race,0.8489,0.1433,0.1171,0.1069,0.1593,16.0,15.0,17.0,16.0
adult,mlp,baseline,race,0.8499,0.1437,0.118,0.1055,0.1598,17.0,17.0,15.0,17.0
adult,random_forest,ExponentiatedGradient_DP,sex,0.8152,0.1214,0.0934,0.1444,0.1276,1.0,1.0,8.0,1.0
adult,random_forest,equalized_odds,sex,0.8199,0.1302,0.1112,0.0926,0.1444,2.0,4.0,2.0,2.0
adult,mlp,equalized_odds,sex,0.8265,0.1306,0.1108,0.0877,0.1459,3.0,3.0,1.0,3.0
adult,logistic_regression,equalized_odds,sex,0.824,0.1334,0.112,0.0931,0.1489,4.0,5.0,3.0,5.0
adult,gradient_boosting,equalized_odds,sex,0.837,0.1425,0.1182,0.0954,0.16,5.0,6.0,4.0,6.0
adult,logistic_regression,ExponentiatedGradient_DP,sex,0.8333,0.1439,0.1067,0.1992,0.1479,6.0,2.0,19.0,4.0
adult,xgboost,equalized_odds,sex,0.843,0.1462,0.1242,0.1004,0.163,7.0,7.0,5.0,7.0
adult,logistic_regression,ExponentiatedGradient_EO,sex,0.8395,0.1627,0.1366,0.1121,0.1818,8.0,8.0,6.0,8.0
adult,mlp,reweighing,sex,0.8316,0.1715,0.1422,0.1462,0.1881,9.0,9.0,9.0,9.0
adult,random_forest,reweighing,sex,0.8441,0.1802,0.1552,0.1234,0.2005,10.0,13.0,7.0,12.0
adult,logistic_regression,reweighing,sex,0.8456,0.1803,0.1455,0.1684,0.1962,11.0,10.0,11.0,10.0
adult,gradient_boosting,reweighing,sex,0.8577,0.1844,0.1483,0.1739,0.2004,12.0,11.0,12.0,11.0
adult,xgboost,reweighing,sex,0.8633,0.1879,0.152,0.1766,0.2041,13.0,12.0,13.0,13.0
adult,random_forest,ExponentiatedGradient_EO,sex,0.842,0.2264,0.1921,0.1656,0.2498,14.0,14.0,10.0,14.0
adult,random_forest,baseline,sex,0.8448,0.2438,0.2101,0.1784,0.2678,15.0,15.0,14.0,15.0
adult,logistic_regression,baseline,sex,0.8489,0.2534,0.2153,0.1856,0.2792,16.0,16.0,16.0,16.0
adult,mlp,baseline,sex,0.8499,0.254,0.2168,0.1856,0.2796,17.0,17.0,16.0,17.0
adult,xgboost,baseline,sex,0.8677,0.2547,0.2183,0.1855,0.2804,18.0,18.0,15.0,18.0
adult,gradient_boosting,baseline,sex,0.8618,0.262,0.2201,0.1953,0.289,19.0,19.0,18.0,19.0
bank_uci,random_forest,equalized_odds,age_group,0.8663,0.0836,0.0594,0.0637,0.0956,1.0,1.0,1.0,1.0
bank_uci,xgboost,equalized_odds,age_group,0.8837,0.1051,0.0713,0.0723,0.1223,2.0,2.0,2.0,2.0
bank_uci,mlp,equalized_odds,age_group,0.8868,0.1109,0.0744,0.0771,0.1291,3.0,3.0,4.0,3.0
bank_uci,logistic_regression,equalized_odds,age_group,0.8886,0.1124,0.0745,0.0769,0.1314,4.0,4.0,3.0,4.0
bank_uci,gradient_boosting,equalized_odds,age_group,0.8888,0.1172,0.0784,0.082,0.1365,5.0,5.0,5.0,5.0
bank_uci,logistic_regression,ExponentiatedGradient_DP,age_group,0.896,0.2184,0.1367,0.1389,0.2592,6.0,6.0,6.0,6.0
bank_uci,random_forest,ExponentiatedGradient_DP,age_group,0.8821,0.242,0.1625,0.1611,0.2825,7.0,7.0,7.0,7.0
bank_uci,logistic_regression,ExponentiatedGradient_EO,age_group,0.8982,0.3127,0.198,0.1972,0.3707,8.0,8.0,8.0,8.0
bank_uci,random_forest,ExponentiatedGradient_EO,age_group,0.8839,0.3746,0.2546,0.2617,0.4342,9.0,9.0,9.0,9.0
bank_uci,mlp,reweighing,age_group,0.8872,0.3983,0.2655,0.2707,0.4645,10.0,10.0,10.0,10.0
bank_uci,random_forest,reweighing,age_group,0.8849,0.4147,0.2817,0.2912,0.4804,11.0,11.0,11.0,11.0
bank_uci,random_forest,baseline,age_group,0.8855,0.4345,0.2947,0.3048,0.5036,12.0,12.0,13.0,12.0
bank_uci,gradient_boosting,reweighing,age_group,0.9015,0.459,0.2956,0.3019,0.5403,13.0,13.0,12.0,13.0
bank_uci,xgboost,reweighing,age_group,0.9005,0.4778,0.31,0.3174,0.5612,14.0,14.0,14.0,14.0
bank_uci,logistic_regression,reweighing,age_group,0.9003,0.5031,0.3224,0.3317,0.5925,15.0,15.0,15.0,15.0
bank_uci,logistic_regression,baseline,age_group,0.9001,0.5284,0.3398,0.35,0.6218,16.0,16.0,16.0,16.0
bank_uci,gradient_boosting,baseline,age_group,0.9018,0.5433,0.3518,0.3635,0.6379,17.0,17.0,17.0,17.0
bank_uci,mlp,baseline,age_group,0.8999,0.5596,0.3621,0.3742,0.6572,18.0,18.0,18.0,18.0
bank_uci,xgboost,baseline,age_group,0.9005,0.5699,0.3718,0.3853,0.6676,19.0,19.0,19.0,19.0
bank_uci,random_forest,equalized_odds,job_group,0.8828,0.0279,0.0198,0.0268,0.031,1.0,1.0,1.0,1.0
bank_uci,mlp,equalized_odds,job_group,0.8974,0.0298,0.0204,0.0271,0.0336,2.0,2.0,2.0,2.0
bank_uci,gradient_boosting,equalized_odds,job_group,0.8999,0.0301,0.0206,0.028,0.0338,3.0,3.0,3.0,3.0
bank_uci,xgboost,equalized_odds,job_group,0.8974,0.0328,0.0225,0.0291,0.037,4.0,5.0,4.0,4.0
bank_uci,logistic_regression,equalized_odds,job_group,0.8978,0.0332,0.0224,0.0294,0.0375,5.0,4.0,5.0,5.0
bank_uci,xgboost,reweighing,job_group,0.9008,0.0478,0.0325,0.0376,0.0548,6.0,6.0,6.0,6.0
bank_uci,mlp,reweighing,job_group,0.8852,0.0505,0.0355,0.0426,0.0571,7.0,9.0,9.0,7.0
bank_uci,gradient_boosting,reweighing,job_group,0.902,0.0516,0.0348,0.0402,0.0593,8.0,7.0,8.0,8.0
bank_uci,logistic_regression,ExponentiatedGradient_EO,job_group,0.8999,0.0527,0.0352,0.0401,0.0607,9.0,8.0,7.0,9.0
bank_uci,xgboost,baseline,job_group,0.9005,0.0548,0.0373,0.0429,0.0628,10.0,10.0,10.0,10.0
bank_uci,gradient_boosting,baseline,job_group,0.9018,0.0563,0.0381,0.0447,0.0646,11.0,11.0,12.0,11.0
bank_uci,logistic_regression,ExponentiatedGradient_DP,job_group,0.9001,0.0584,0.0391,0.0445,0.0674,12.0,12.0,11.0,12.0
bank_uci,mlp,baseline,job_group,0.8999,0.0589,0.0397,0.0452,0.0678,13.0,13.0,13.0,13.0
bank_uci,random_forest,reweighing,job_group,0.8855,0.0604,0.0427,0.0491,0.0684,14.0,15.0,15.0,14.0
bank_uci,logistic_regression,reweighing,job_group,0.9001,0.0615,0.0412,0.0464,0.0711,15.0,14.0,14.0,16.0
bank_uci,random_forest,baseline,job_group,0.8855,0.0625,0.0442,0.0502,0.0709,16.0,16.0,16.0,15.0
bank_uci,logistic_regression,baseline,job_group,0.9001,0.0689,0.0461,0.052,0.0795,17.0,17.0,17.0,17.0
