run_block,dataset,dataset_variant,model,mitigation,protected_attribute,seed,n_rows,accuracy,precision,recall,f1,spd,di,eod,aod,cfs,acfs_balanced,runtime_seconds,status,error_message
optional_main_grid_extension,adult,kaggle_mirror_train_partition,mlp,equalized_odds,age_group,52,32561,0.8331030247197911,0.6728971962616822,0.5969387755102041,0.6326461642446772,-0.1170564539777934,0.549247001121609,-0.0011168437025796,0.0010252328937454,0.1424878823631274,0.1424878823631274,99.61278519999178,success,
optional_main_grid_extension,adult,kaggle_mirror_train_partition,mlp,equalized_odds,age_group,53,32561,0.8357131890066022,0.6985645933014354,0.5586734693877551,0.6208362863217576,-0.1106047271812924,0.5305496264674493,-0.0391408357510052,-0.0125855407488485,0.1579453693034242,0.1579453693034242,76.29189170000609,success,
optional_main_grid_extension,adult,kaggle_mirror_train_partition,mlp,equalized_odds,age_group,54,32561,0.8263473053892215,0.6577617328519856,0.5809948979591837,0.6169996613613274,-0.1149551972736646,0.5551585653378428,-0.0423781541652265,-0.0172543361996957,0.154857280575186,0.154857280575186,95.52095340000233,success,
optional_main_grid_extension,adult,kaggle_mirror_train_partition,mlp,equalized_odds,age_group,55,32561,0.8237371411024106,0.6699029126213593,0.5280612244897959,0.5905848787446505,-0.0943259018219199,0.5847759013863747,0.0493530933897906,0.0260638470719021,0.1462417352243095,0.1462417352243095,59.39062879999983,success,
optional_main_grid_extension,adult,kaggle_mirror_train_partition,mlp,equalized_odds,age_group,56,32561,0.8240442192538001,0.6449175824175825,0.5988520408163265,0.621031746031746,-0.1223466108785618,0.5495730917934512,0.0180264972311425,0.0056240727610598,0.1491060222693283,0.1491060222693283,113.370488200002,success,
optional_main_grid_extension,adult,kaggle_mirror_train_partition,mlp,equalized_odds,age_group,57,32561,0.8258866881621373,0.6513249651324965,0.5956632653061225,0.6222518321119255,-0.1171603520857252,0.5614919643624487,0.0501508355812357,0.025705298960136,0.157881130566162,0.157881130566162,97.70070000000123,success,
optional_main_grid_extension,adult,kaggle_mirror_train_partition,mlp,equalized_odds,age_group,58,32561,0.8300322432058959,0.6673928830791576,0.5860969387755102,0.6241086587436332,-0.122039637183041,0.5310413941874884,-0.0579801078267335,-0.0285117046317765,0.1693725138635156,0.1693725138635156,77.46406310000748,success,
optional_main_grid_extension,adult,kaggle_mirror_train_partition,mlp,equalized_odds,age_group,59,32561,0.8168278826961461,0.6283367556468172,0.5854591836734694,0.6061406404754044,-0.1006426776599609,0.6177301910384737,0.0055717894111237,0.0092845393226473,0.1244422038388145,0.1244422038388145,89.46282939999946,success,
optional_main_grid_extension,adult,kaggle_mirror_train_partition,mlp,equalized_odds,age_group,60,32561,0.8189774297558728,0.630449362843729,0.5994897959183674,0.6145799280810723,-0.1023286230856924,0.6212866387514275,0.0844987269842442,0.0465810592295022,0.1530304426370028,0.1530304426370028,61.770300999996834,success,
optional_main_grid_extension,adult,kaggle_mirror_train_partition,mlp,equalized_odds,age_group,61,32561,0.8324888684170121,0.699581589958159,0.5331632653061225,0.6051393412956931,-0.0963229801311174,0.5651673943909118,0.0401031423451772,0.0222329476035367,0.1483729189222299,0.1483729189222299,83.47743939999782,success,
optional_main_grid_extension,adult,kaggle_mirror_train_partition,mlp,equalized_odds,age_group,62,32561,0.8225088284968525,0.6719532554257095,0.5133928571428571,0.5820679681851049,-0.0949942594718714,0.5721967529557754,0.0591080876795162,0.0319060939399164,0.1534529220338821,0.1534529220338821,73.38192239998898,success,
optional_main_grid_extension,adult,kaggle_mirror_train_partition,mlp,equalized_odds,age_group,63,32561,0.8392445877475817,0.7014694508894045,0.5784438775510204,0.6340440405452639,-0.1287097046503802,0.4825557217901715,-0.0325018896447468,-0.0200001408242833,0.1746640033323097,0.1746640033323097,66.13610709999921,success,
optional_main_grid_extension,adult,kaggle_mirror_train_partition,mlp,equalized_odds,age_group,64,32561,0.8395516658989712,0.7173732335827099,0.5503826530612245,0.6228798267773367,-0.120174144922296,0.4836473553338709,-0.0837976539589442,-0.0370024838665684,0.1893317318534844,0.1893317318534844,98.7147779000079,success,
optional_main_grid_extension,adult,kaggle_mirror_train_partition,mlp,equalized_odds,age_group,65,32561,0.828036235221864,0.6573033707865169,0.5969387755102041,0.625668449197861,-0.1338994817255386,0.5066597993566989,-0.0146868837968314,-0.0124264461985989,0.1635882530910675,0.1635882530910675,101.33422669999707,success,
optional_main_grid_extension,adult,kaggle_mirror_train_partition,mlp,equalized_odds,age_group,66,32561,0.828036235221864,0.6747269890795632,0.5516581632653061,0.6070175438596492,-0.1040155472482856,0.5637373667451198,-0.0415104234954766,-0.0140267435349995,0.1489538368834105,0.1489538368834105,85.51650160001009,success,
optional_main_grid_extension,adult,kaggle_mirror_train_partition,mlp,equalized_odds,age_group,67,32561,0.8238906801781053,0.6513299784327822,0.5778061224489796,0.6123690435958095,-0.1124583829794614,0.5643484119455742,-0.0306111914102829,-0.0081643245613376,0.1467213717513769,0.1467213717513769,75.34272620000411,success,
optional_main_grid_extension,adult,kaggle_mirror_train_partition,mlp,equalized_odds,age_group,68,32561,0.8283433133732535,0.6984126984126984,0.5051020408163265,0.5862324204293116,-0.1013498954155461,0.5253247839420128,0.0291239106894239,0.0185228190291199,0.1559179602980193,0.1559179602980193,90.66032910000648,success,
optional_main_grid_extension,adult,kaggle_mirror_train_partition,mlp,equalized_odds,age_group,69,32561,0.8284968524489482,0.668661181750187,0.5701530612244898,0.6154905335628227,-0.1113275557926396,0.5528814104409315,0.0670585840077365,0.0319347082195448,0.1643598593947474,0.1643598593947474,79.79320349999762,success,
optional_main_grid_extension,adult,kaggle_mirror_train_partition,mlp,equalized_odds,age_group,70,32561,0.8269614616920006,0.6571632216678546,0.5880102040816326,0.6206664422753282,-0.1204405987014682,0.5413992587905632,0.0210973685549957,0.0083663334577676,0.1521262604809171,0.1521262604809171,112.30632740000146,success,
optional_main_grid_extension,adult,kaggle_mirror_train_partition,mlp,equalized_odds,age_group,71,32561,0.8295716259788116,0.6911519198664441,0.5280612244897959,0.5986984815618221,-0.1085527899688122,0.5224409881124583,-0.0106895928634603,-0.0016802439299683,0.1496204096624456,0.1496204096624456,142.15524220000952,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,42,41188,0.9021607186210244,0.6826347305389222,0.2456896551724137,0.3613312202852615,0.0512868596832288,2.6865977239111567,0.0698933111176802,0.0476124133197979,0.4638475770079659,0.4638475770079659,13.836301899995306,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,43,41188,0.9045884923525128,0.7040229885057471,0.2640086206896552,0.384012539184953,0.0597198384005604,2.993606646198302,0.0867886178861788,0.0558738127786617,0.5489972288159258,0.5489972288159258,11.906228000007104,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,44,41188,0.901432386501578,0.6542553191489362,0.2650862068965517,0.3773006134969325,0.0648025801324727,2.962719242094482,0.0897507387160151,0.0603634341579023,0.5444089987752181,0.5444089987752181,12.973521300009452,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,45,41188,0.9010682204418548,0.6609686609686609,0.25,0.36278342455043,0.0686061495167442,3.386332417582417,0.1599452674788832,0.0939269793153856,0.6772027034733576,0.6772027034733576,13.11469550000038,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,46,41188,0.9016751638747268,0.6620879120879121,0.2596982758620689,0.3730650154798761,0.0600316887055642,2.8712247233009296,0.1253634842503695,0.0761023704448377,0.5331805666754252,0.5331805666754252,12.077670500002569,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,47,41188,0.898154891964069,0.6282420749279539,0.2349137931034483,0.3419607843137255,0.0665103250602566,3.315192743764172,0.1286951030181827,0.080711646452512,0.6477774545737809,0.6477774545737809,11.7570349000016,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,48,41188,0.9021607186210244,0.6666666666666666,0.2629310344827586,0.3771251931993817,0.0656485340360913,3.0865502813105765,0.1391849529780564,0.0840946597742955,0.593869607024755,0.593869607024755,11.368093600001885,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,49,41188,0.9026462733673222,0.6909090909090909,0.2456896551724137,0.3624801271860095,0.0551948908781562,2.903501289080709,0.0753985418501513,0.0506302191987825,0.5211812352519499,0.5211812352519499,12.142371099995216,success,
