dataset,dataset_label,model,age_coding,privileged_count,unprivileged_count,mean_abs_spd,sd_abs_spd,mean_abs_eod,sd_abs_eod,mean_abs_aod,sd_abs_aod,mean_cfs,sd_cfs,mean_accuracy
acs_income_ca_2018,ACSIncome CA 2018,mlp,middle_vs_rest,30247,19752,0.20468432436161388,0.01120385865479381,0.10174905981363837,0.016559955872725858,0.09743665972715411,0.010179298260266692,[0.20825006],0.012511559884837953,0.7886466666666666
acs_income_ca_2018,ACSIncome CA 2018,mlp,young_vs_rest,37040,12959,0.2876962710838497,0.01575417606974032,0.09930898306180902,0.027230033572238833,0.10612643917992101,0.017926034237931723,[0.27605963],0.01973850259806676,0.7886466666666666
acs_income_ca_2018,ACSIncome CA 2018,mlp,older_vs_rest,43206,6793,0.053933539555165624,0.019575450979337803,0.07838518486834746,0.02725406778579367,0.025586201621392895,0.014489086458505622,[0.07418711],0.008623905928326956,0.7886466666666666
adult,Adult Income,logistic_regression,middle_vs_rest,19657,12904,0.1729322504702692,0.007458185301686745,0.04519114216922764,0.027728202511664055,0.048817244580967006,0.014219117407895868,[0.23355582],0.014372130225454508,0.8489124315471623
adult,Adult Income,logistic_regression,young_vs_rest,21989,10572,0.18909684043175026,0.0072528727542798925,0.06403721045465388,0.04143510809860338,0.060861108054691734,0.01973467215944524,[0.26600613],0.019143030433217214,0.8489124315471623
adult,Adult Income,logistic_regression,older_vs_rest,30229,2332,0.011526146094662522,0.00993286303841082,0.03377892294594325,0.025634826402444705,0.017244306270746513,0.013716528409718695,[0.03086005],0.021742251275896587,0.8489124315471623
adult,Adult Income,random_forest,middle_vs_rest,19657,12904,0.17921155370249672,0.00862716401157134,0.05223864557134335,0.028684396167840333,0.05411654607009051,0.01599451659712927,[0.23282432],0.015923142973986528,0.8447873483801627
adult,Adult Income,random_forest,young_vs_rest,21989,10572,0.19970474940106223,0.009528858379047623,0.09945789302706814,0.04166043557938511,0.08150100093303526,0.02174198603517997,[0.27908139],0.022054337752130542,0.8447873483801627
adult,Adult Income,random_forest,older_vs_rest,30229,2332,0.017424495412542894,0.014311638139330228,0.03729094621528312,0.026024922185345398,0.024450582182658515,0.0162997515546602,[0.04109668],0.02627642311803533,0.8447873483801627
adult,Adult Income,gradient_boosting,middle_vs_rest,19657,12904,0.16988083192709863,0.007579638676719977,0.05503250394343214,0.031247678793906847,0.048179278295730404,0.01602534063036665,[0.24001423],0.016482496846554853,0.8617943599979528
adult,Adult Income,gradient_boosting,young_vs_rest,21989,10572,0.18353240068106028,0.007474922488093187,0.06482873697910634,0.038353923443328664,0.054128442091354416,0.02023444896840775,[0.26707751],0.01946320021088799,0.8617943599979528
adult,Adult Income,gradient_boosting,older_vs_rest,30229,2332,0.014162863416615719,0.010970421909544888,0.04537904694749839,0.03456891177140707,0.021510371275385003,0.0184762993661262,[0.03983485],0.02690324182929702,0.8617943599979528
adult,Adult Income,xgboost,middle_vs_rest,19657,12904,0.1862281932053689,0.008134566066572512,0.07052435755906337,0.03239595668315912,0.058817839273699296,0.01787290989949966,[0.25107105],0.01773170102213661,0.8677107323813911
adult,Adult Income,xgboost,young_vs_rest,21989,10572,0.199569398560561,0.008546071901608611,0.07996011531875467,0.04146381829874176,0.06406676985501356,0.023317928577046523,[0.27667972],0.021870173548810518,0.8677107323813911
adult,Adult Income,xgboost,older_vs_rest,30229,2332,0.016827805801782156,0.013198025744795967,0.05357191009500005,0.03811958150905836,0.027618720556328007,0.02067461207215549,[0.04575717],0.031202137686845925,0.8677107323813911
adult,Adult Income,mlp,middle_vs_rest,19657,12904,0.17801605515861904,0.016521246567016094,0.05971047960729007,0.027561382277059076,0.05688237917492745,0.016587730173511988,[0.24152749],0.016222669334901907,0.8498848456932289
adult,Adult Income,mlp,young_vs_rest,21989,10572,0.19262520117623877,0.017607329076969054,0.07646246650968797,0.042971265452157854,0.06664594740323433,0.023958130544389264,[0.27116667],0.02189560503429379,0.8498848456932289
adult,Adult Income,mlp,older_vs_rest,30229,2332,0.014219842902859495,0.009830996850778147,0.04162935835648036,0.033648145789668404,0.021158923855020717,0.01676603899127633,[0.03764065],0.023778523538405365,0.8498848456932289
bank_uci,UCI Bank Marketing,logistic_regression,middle_vs_rest,32895,8293,0.05259684954420642,0.005741689950129986,0.0863915049348959,0.026682129297539887,0.05508683488072327,0.013382810581025636,[0.52842303],0.05994282690844155,0.900101157238812
bank_uci,UCI Bank Marketing,logistic_regression,young_vs_rest,33805,7383,0.02581915399227992,0.005097217582945483,0.033960664679548405,0.023918761973465125,0.02223834830229253,0.01308322798845443,[0.21457267],0.04725275328723259,0.900101157238812
