dataset,dataset_label,model,age_coding,n_seeds,n_rows_mean,accuracy_mean,accuracy_sd,precision_mean,precision_sd,recall_mean,recall_sd,f1_mean,f1_sd,spd_mean,spd_sd,di_mean,di_sd,eod_mean,eod_sd,aod_mean,aod_sd,cfs_mean,cfs_sd,abs_spd_mean,abs_spd_sd,abs_eod_mean,abs_eod_sd,abs_aod_mean,abs_aod_sd,abs_di_violation_mean,abs_di_violation_sd
adult,Adult Income,logistic_regression,young_vs_rest,30,32561.0,0.8489124315471623,0.0037074769264915613,0.7351578404260118,0.010810192985431195,0.5823341836734693,0.012550422777890964,0.6497959394998265,0.009577997743743634,-0.18909684043175026,0.0072528727542798925,0.24997065443106026,0.018054436497082573,-0.06369489124198807,0.04197738795478683,-0.060861108054691734,0.01973467215944524,[0.26600613],0.019143030433217214,0.18909684043175026,0.0072528727542798925,0.06403721045465388,0.04143510809860338,0.060861108054691734,0.01973467215944524,0.7500293455689396,0.018054436497082573
adult,Adult Income,mlp,middle_vs_rest,30,32561.0,0.8498848456932289,0.00356180302509684,0.734544149698275,0.022841776649565795,0.5927933673469388,0.03791319568241047,0.6548031851544338,0.015700224415634807,-0.17801605515861904,0.016521246567016094,0.32849894103579935,0.020933138198605556,-0.05877967285838122,0.02955882912936564,-0.05688237917492745,0.016587730173511988,[0.24152749],0.016222669334901907,0.17801605515861904,0.016521246567016094,0.05971047960729007,0.027561382277059076,0.05688237917492745,0.016587730173511988,0.6715010589642006,0.02093313819860555
adult,Adult Income,mlp,older_vs_rest,30,32561.0,0.8498848456932289,0.00356180302509684,0.734544149698275,0.022841776649565795,0.5927933673469388,0.03791319568241047,0.6548031851544338,0.015700224415634807,-0.004998509764737142,0.016732552871918837,0.9746213497815559,0.08646638021520066,-0.028975742575848205,0.045347709639884035,-0.011963887508527487,0.024416547153327216,[0.03764065],0.023778523538405365,0.014219842902859495,0.009830996850778147,0.04162935835648036,0.033648145789668404,0.021158923855020717,0.01676603899127633,0.07355446499821304,0.050456915485895586
adult,Adult Income,mlp,young_vs_rest,30,32561.0,0.8498848456932289,0.00356180302509684,0.734544149698275,0.022841776649565795,0.5927933673469388,0.03791319568241047,0.6548031851544338,0.015700224415634807,-0.19262520117623877,0.017607329076969054,0.2510669286687751,0.020346738577649494,-0.07483378199520564,0.045841471847575775,-0.06664594740323433,0.023958130544389264,[0.27116667],0.02189560503429379,0.19262520117623877,0.017607329076969054,0.07646246650968797,0.042971265452157854,0.06664594740323433,0.023958130544389264,0.7489330713312247,0.0203467385776495
adult,Adult Income,random_forest,middle_vs_rest,30,32561.0,0.8447873483801627,0.004565997493315049,0.7071466132386469,0.012371182512818888,0.6066964285714286,0.01339144332539526,0.6529957342824005,0.010725432021338608,-0.17921155370249672,0.00862716401157134,0.35426948146460907,0.02126037667547905,-0.0513618504088339,0.03027809913700839,-0.05411654607009051,0.01599451659712927,[0.23282432],0.015923142973986528,0.17921155370249672,0.00862716401157134,0.05223864557134335,0.028684396167840333,0.05411654607009051,0.01599451659712927,0.645730518535391,0.021260376675479045
adult,Adult Income,random_forest,older_vs_rest,30,32561.0,0.8447873483801627,0.004565997493315049,0.7071466132386469,0.012371182512818888,0.6066964285714286,0.01339144332539526,0.6529957342824005,0.010725432021338608,0.014272239048349717,0.017555187452772562,1.0700888877063806,0.08623424766373333,0.016324350361852473,0.042897435143440146,0.016349562702426674,0.024649584298709566,[0.04109668],0.02627642311803533,0.017424495412542894,0.014311638139330228,0.03729094621528312,0.026024922185345398,0.024450582182658515,0.0162997515546602,0.08522069097606903,0.07074738911184514
adult,Adult Income,random_forest,young_vs_rest,30,32561.0,0.8447873483801627,0.004565997493315049,0.7071466132386469,0.012371182512818888,0.6066964285714286,0.01339144332539526,0.6529957342824005,0.010725432021338608,-0.19970474940106223,0.009528858379047623,0.26433808327792685,0.02440492872682189,-0.09945789302706814,0.04166043557938511,-0.08150100093303526,0.02174198603517997,[0.27908139],0.022054337752130542,0.19970474940106223,0.009528858379047623,0.09945789302706814,0.04166043557938511,0.08150100093303526,0.02174198603517997,0.7356619167220733,0.02440492872682189
adult,Adult Income,xgboost,middle_vs_rest,30,32561.0,0.8677107323813911,0.003706625365148195,0.7757802933066468,0.010438338364171768,0.6338010204081633,0.01263512361883576,0.6975590729281317,0.009418707273470734,-0.1862281932053689,0.008134566066572512,0.31128619420438286,0.021744830208591935,-0.06977857776566454,0.03402559639786837,-0.058817839273699296,0.01787290989949966,[0.25107105],0.01773170102213661,0.1862281932053689,0.008134566066572512,0.07052435755906337,0.03239595668315912,0.058817839273699296,0.01787290989949966,0.688713805795617,0.02174483020859193
adult,Adult Income,xgboost,older_vs_rest,30,32561.0,0.8677107323813911,0.003706625365148195,0.7757802933066468,0.010438338364171768,0.6338010204081633,0.01263512361883576,0.6975590729281317,0.009418707273470734,-0.011733541332318726,0.018019549059004717,0.9408269548741122,0.09110840961748108,-0.047286421593098996,0.0459228321481624,-0.02261447753645361,0.026219972561956312,[0.04575717],0.031202137686845925,0.016827805801782156,0.013198025744795967,0.05357191009500005,0.03811958150905836,0.027618720556328007,0.02067461207215549,0.08501022481619147,0.0666857931343863
adult,Adult Income,xgboost,young_vs_rest,30,32561.0,0.8677107323813911,0.003706625365148195,0.7757802933066468,0.010438338364171768,0.6338010204081633,0.01263512361883576,0.6975590729281317,0.009418707273470734,-0.199569398560561,0.008546071901608611,0.2368774135191575,0.022549337859483112,-0.07785924093872083,0.045411891909219376,-0.06406676985501356,0.023317928577046523,[0.27667972],0.021870173548810518,0.199569398560561,0.008546071901608611,0.07996011531875467,0.04146381829874176,0.06406676985501356,0.023317928577046523,0.7631225864808424,0.022549337859483112
